Run	Time	Name	X pos	Y pos

0	0.00	Bee09	22.50	9.50
0	0.00	Bee08	32.50	11.50
0	0.00	Bee01	19.50	16.50
0	0.00	Bee07	45.50	23.50
0	0.00	Bee06	33.50	34.50
0	0.00	Bee03	1.50	1.50
0	0.00	Bee04	39.50	19.50
0	0.00	Bee05	41.50	7.50
0	0.00	Bee02	16.50	18.50
0	0.00	Bee00	3.50	4.50
0	1.01	Bee09	20.59	10.27
0	1.01	Bee08	30.85	10.26
0	1.01	Bee01	21.55	16.25
0	1.01	Bee07	46.85	21.94
0	1.01	Bee06	34.65	32.79
0	1.01	Bee03	3.53	1.11
0	1.01	Bee04	39.68	17.44
0	1.01	Bee05	40.01	8.93
0	1.01	Bee02	15.90	20.47
0	1.01	Bee00	1.77	3.38
0	2.01	Bee09	18.74	11.02
0	2.01	Bee08	29.26	9.06
0	2.01	Bee01	23.52	16.01
0	2.01	Bee07	48.16	20.44
0	2.01	Bee06	35.77	31.14
0	2.01	Bee03	4.69	1.09
0	2.01	Bee04	39.85	15.46
0	2.01	Bee05	38.59	10.31
0	2.01	Bee02	15.32	22.37
0	2.01	Bee00	0.98	2.86
0	3.01	Bee09	16.89	11.77
0	3.01	Bee08	27.67	7.86
0	3.01	Bee01	25.51	15.76
0	3.01	Bee07	49.01	19.46
0	3.01	Bee06	36.88	29.48
0	3.01	Bee03	6.66	1.41
0	3.01	Bee04	40.03	13.47
0	3.01	Bee05	37.15	11.70
0	3.01	Bee02	14.73	24.29
0	3.01	Bee00	0.97	2.67
0	4.01	Bee09	15.02	12.52
0	4.01	Bee08	26.06	6.65
0	4.01	Bee01	27.51	15.52
0	4.01	Bee07	48.91	18.77
0	4.01	Bee06	38.01	27.81
0	4.01	Bee03	8.65	1.74
0	4.01	Bee04	40.20	11.46
0	4.01	Bee05	35.70	13.10
0	4.01	Bee02	14.14	26.21
0	4.01	Bee00	1.46	0.72
0	5.01	Bee09	13.18	13.27
0	5.01	Bee08	24.47	5.45
0	5.01	Bee01	29.48	15.27
0	5.01	Bee07	48.60	16.80
0	5.01	Bee06	39.12	26.16
0	5.01	Bee03	10.61	2.06
0	5.01	Bee04	40.38	9.48
0	5.01	Bee05	34.27	14.49
0	5.01	Bee02	13.56	28.12
0	5.01	Bee00	1.46	0.72
0	6.01	Bee09	11.33	14.01
0	6.01	Bee08	22.88	4.25
0	6.01	Bee01	31.46	15.03
0	6.01	Bee07	48.28	14.83
0	6.01	Bee06	40.24	24.51
0	6.01	Bee03	12.58	2.37
0	6.01	Bee04	40.55	7.50
0	6.01	Bee05	32.83	15.87
0	6.01	Bee02	12.98	30.02
0	6.01	Bee00	1.52	0.70
0	7.02	Bee09	9.45	14.77
0	7.02	Bee08	21.26	3.03
0	7.02	Bee01	32.56	14.65
0	7.02	Bee07	47.95	12.84
0	7.02	Bee06	41.37	22.84
0	7.02	Bee03	14.58	2.70
0	7.02	Bee04	40.73	5.48
0	7.02	Bee05	31.38	17.27
0	7.02	Bee02	12.39	31.96
0	7.02	Bee00	2.28	1.46
0	8.01	Bee09	7.61	15.51
0	8.01	Bee08	19.68	1.84
0	8.01	Bee01	34.32	13.74
0	8.01	Bee07	47.63	10.88
0	8.01	Bee06	42.48	21.19
0	8.01	Bee03	16.54	3.02
0	8.01	Bee04	40.90	3.51
0	8.01	Bee05	29.95	18.65
0	8.01	Bee02	11.81	33.85
0	8.01	Bee00	3.67	2.88
0	9.02	Bee09	5.74	16.27
0	9.02	Bee08	18.53	0.97
0	9.02	Bee01	36.12	12.82
0	9.02	Bee07	47.31	8.89
0	9.02	Bee06	43.61	19.52
0	9.02	Bee03	18.53	3.34
0	9.02	Bee04	41.08	1.50
0	9.02	Bee05	28.50	20.05
0	9.02	Bee02	11.22	35.78
0	9.02	Bee00	5.09	4.32
