Run	Time	Name	X pos	Y pos

0	0.00	Bee09	22.50	9.50
0	0.00	Bee08	32.50	11.50
0	0.00	Bee01	19.50	16.50
0	0.00	Bee07	45.50	23.50
0	0.00	Bee06	33.50	34.50
0	0.00	Bee03	1.50	1.50
0	0.00	Bee04	39.50	19.50
0	0.00	Bee05	41.50	7.50
0	0.00	Bee02	16.50	18.50
0	0.00	Bee00	3.50	4.50
0	1.00	Bee09	20.60	10.27
0	1.00	Bee08	30.86	10.27
0	1.00	Bee01	21.53	16.25
0	1.00	Bee07	46.84	21.95
0	1.00	Bee06	34.65	32.80
0	1.00	Bee03	3.51	1.11
0	1.00	Bee04	39.68	17.46
0	1.00	Bee05	40.03	8.92
0	1.00	Bee02	15.90	20.46
0	1.00	Bee00	1.78	3.38
0	2.01	Bee09	18.73	11.02
0	2.01	Bee08	29.25	9.05
0	2.01	Bee01	23.54	16.00
0	2.01	Bee07	48.17	20.43
0	2.01	Bee06	35.77	31.13
0	2.01	Bee03	4.70	1.10
0	2.01	Bee04	39.85	15.45
0	2.01	Bee05	38.57	10.33
0	2.01	Bee02	15.31	22.39
0	2.01	Bee00	0.99	2.87
0	3.01	Bee09	16.89	11.77
0	3.01	Bee08	27.67	7.86
0	3.01	Bee01	25.51	15.76
0	3.01	Bee07	49.03	19.44
0	3.01	Bee06	36.88	29.48
0	3.01	Bee03	6.66	1.42
0	3.01	Bee04	40.03	13.47
0	3.01	Bee05	37.15	11.70
0	3.01	Bee02	14.73	24.29
0	3.01	Bee00	0.97	2.65
0	4.00	Bee09	15.04	12.51
0	4.00	Bee08	26.08	6.66
0	4.00	Bee01	27.48	15.52
0	4.00	Bee07	48.93	18.81
0	4.00	Bee06	38.00	27.83
0	4.00	Bee03	8.63	1.74
0	4.00	Bee04	40.20	11.49
0	4.00	Bee05	35.71	13.09
0	4.00	Bee02	14.15	26.19
0	4.00	Bee00	1.38	0.94
0	5.01	Bee09	13.17	13.27
0	5.01	Bee08	24.46	5.44
0	5.01	Bee01	29.49	15.27
0	5.01	Bee07	48.59	16.82
0	5.01	Bee06	39.13	26.16
0	5.01	Bee03	10.62	2.06
0	5.01	Bee04	40.38	9.48
0	5.01	Bee05	34.26	14.49
0	5.01	Bee02	13.56	28.12
0	5.01	Bee00	1.41	0.93
0	6.00	Bee09	11.33	14.01
0	6.00	Bee08	22.88	4.25
0	6.00	Bee01	31.45	15.03
0	6.00	Bee07	48.26	14.87
0	6.00	Bee06	40.23	24.52
0	6.00	Bee03	12.58	2.37
0	6.00	Bee04	40.55	7.50
0	6.00	Bee05	32.84	15.87
0	6.00	Bee02	12.98	30.02
0	6.00	Bee00	1.97	1.06
0	7.01	Bee09	9.46	14.77
0	7.01	Bee08	21.26	3.03
0	7.01	Bee01	32.56	14.66
0	7.01	Bee07	47.92	12.87
0	7.01	Bee06	41.37	22.84
0	7.01	Bee03	14.58	2.70
0	7.01	Bee04	40.73	5.49
0	7.01	Bee05	31.38	17.27
0	7.01	Bee02	12.39	31.95
0	7.01	Bee00	3.93	1.57
0	8.01	Bee09	7.61	15.52
0	8.01	Bee08	19.67	1.83
0	8.01	Bee01	34.33	13.75
0	8.01	Bee07	47.59	10.91
0	8.01	Bee06	42.48	21.18
0	8.01	Bee03	16.55	3.02
0	8.01	Bee04	40.90	3.50
0	8.01	Bee05	29.95	18.66
0	8.01	Bee02	11.80	33.86
0	8.01	Bee00	5.86	2.07
0	9.00	Bee09	5.77	16.26
0	9.00	Bee08	18.52	0.96
0	9.00	Bee01	36.10	12.84
0	9.00	Bee07	47.25	8.95
0	9.00	Bee06	43.59	19.54
0	9.00	Bee03	18.51	3.33
0	9.00	Bee04	41.07	1.52
0	9.00	Bee05	28.52	20.04
0	9.00	Bee02	11.22	35.76
0	9.00	Bee00	7.78	2.56
0	10.00	Bee09	3.92	17.01
0	10.00	Bee08	18.02	1.07
0	10.00	Bee01	37.87	11.93
0	10.00	Bee07	46.92	6.99
0	10.00	Bee06	44.71	17.89
0	10.00	Bee03	20.47	3.65
0	10.00	Bee04	41.12	0.98
0	10.00	Bee05	27.08	21.42
0	10.00	Bee02	10.64	37.66
0	10.00	Bee00	9.71	3.06
