Run	Time	Name	X pos	Y pos

0	0.00	Bee09	22.50	9.50
0	0.00	Bee08	32.50	11.50
0	0.00	Bee01	19.50	16.50
0	0.00	Bee07	45.50	23.50
0	0.00	Bee06	33.50	34.50
0	0.00	Bee03	1.50	1.50
0	0.00	Bee04	39.50	19.50
0	0.00	Bee05	41.50	7.50
0	0.00	Bee02	16.50	18.50
0	0.00	Bee00	3.50	4.50
0	1.00	Bee09	20.60	10.27
0	1.00	Bee08	30.86	10.27
0	1.00	Bee01	21.53	16.25
0	1.00	Bee07	46.84	21.95
0	1.00	Bee06	34.65	32.80
0	1.00	Bee03	3.51	1.11
0	1.00	Bee04	39.68	17.46
0	1.00	Bee05	40.03	8.92
0	1.00	Bee02	15.90	20.46
0	1.00	Bee00	1.78	3.38
0	2.01	Bee09	18.73	11.02
0	2.01	Bee08	29.25	9.05
0	2.01	Bee01	23.53	16.00
0	2.01	Bee07	48.17	20.43
0	2.01	Bee06	35.77	31.13
0	2.01	Bee03	4.70	1.10
0	2.01	Bee04	39.85	15.45
0	2.01	Bee05	38.58	10.32
0	2.01	Bee02	15.31	22.39
0	2.01	Bee00	0.99	2.87
0	3.01	Bee09	16.88	11.77
0	3.01	Bee08	27.66	7.85
0	3.01	Bee01	25.51	15.76
0	3.01	Bee07	49.03	19.44
0	3.01	Bee06	36.89	29.48
0	3.01	Bee03	6.67	1.42
0	3.01	Bee04	40.03	13.46
0	3.01	Bee05	37.14	11.71
0	3.01	Bee02	14.73	24.29
0	3.01	Bee00	0.97	2.65
0	4.02	Bee09	15.01	12.52
0	4.02	Bee08	26.05	6.64
0	4.02	Bee01	27.51	15.52
0	4.02	Bee07	48.93	18.78
0	4.02	Bee06	38.01	27.81
0	4.02	Bee03	8.66	1.74
0	4.02	Bee04	40.20	11.46
0	4.02	Bee05	35.69	13.11
0	4.02	Bee02	14.14	26.22
0	4.02	Bee00	1.39	0.96
0	5.02	Bee09	13.16	13.27
0	5.02	Bee08	24.46	5.44
0	5.02	Bee01	29.50	15.27
0	5.02	Bee07	48.60	16.81
0	5.02	Bee06	39.13	26.15
0	5.02	Bee03	10.63	2.06
0	5.02	Bee04	40.38	9.47
0	5.02	Bee05	34.26	14.50
0	5.02	Bee02	13.56	28.13
0	5.02	Bee00	1.37	0.93
0	6.01	Bee09	11.32	14.02
0	6.01	Bee08	22.87	4.24
0	6.01	Bee01	31.47	15.03
0	6.01	Bee07	48.27	14.85
0	6.01	Bee06	40.24	24.50
0	6.01	Bee03	12.59	2.37
0	6.01	Bee04	40.55	7.49
0	6.01	Bee05	32.83	15.88
0	6.01	Bee02	12.97	30.03
0	6.01	Bee00	1.30	0.91
0	7.00	Bee09	9.48	14.76
0	7.00	Bee08	21.28	3.05
0	7.00	Bee01	32.53	14.66
0	7.00	Bee07	47.94	12.89
0	7.00	Bee06	41.35	22.86
0	7.00	Bee03	14.55	2.69
0	7.00	Bee04	40.72	5.51
0	7.00	Bee05	31.40	17.26
0	7.00	Bee02	12.39	31.93
0	7.00	Bee00	0.94	1.03
0	8.01	Bee09	7.61	15.52
0	8.01	Bee08	19.67	1.83
0	8.01	Bee01	34.33	13.74
0	8.01	Bee07	47.60	10.90
0	8.01	Bee06	42.48	21.18
