Run	Time	Name	X pos	Y pos

0	0.00	Bee09	22.50	9.50
0	0.00	Bee08	32.50	11.50
0	0.00	Bee01	19.50	16.50
0	0.00	Bee07	45.50	23.50
0	0.00	Bee06	33.50	34.50
0	0.00	Bee03	1.50	1.50
0	0.00	Bee04	39.50	19.50
0	0.00	Bee05	41.50	7.50
0	0.00	Bee02	16.50	18.50
0	0.00	Bee00	3.50	4.50
0	1.01	Bee09	20.59	10.27
0	1.01	Bee08	30.86	10.26
0	1.01	Bee01	21.54	16.25
0	1.01	Bee07	46.85	21.95
0	1.01	Bee06	34.65	32.79
0	1.01	Bee03	3.52	1.11
0	1.01	Bee04	39.68	17.45
0	1.01	Bee05	40.02	8.93
0	1.01	Bee02	15.90	20.47
0	1.01	Bee00	1.78	3.38
0	2.02	Bee09	18.72	11.03
0	2.02	Bee08	29.25	9.05
0	2.02	Bee01	23.54	16.00
0	2.02	Bee07	48.17	20.43
0	2.02	Bee06	35.78	31.12
0	2.02	Bee03	4.71	1.10
0	2.02	Bee04	39.86	15.44
0	2.02	Bee05	38.57	10.33
0	2.02	Bee02	15.31	22.39
0	2.02	Bee00	0.99	2.87
0	3.04	Bee09	16.95	11.74
0	3.04	Bee08	27.72	7.90
0	3.04	Bee01	25.44	15.77
0	3.04	Bee07	49.10	19.36
0	3.04	Bee06	36.85	29.54
0	3.04	Bee03	6.59	1.41
0	3.04	Bee04	40.02	13.54
0	3.04	Bee05	37.20	11.66
0	3.04	Bee02	14.75	24.22
0	3.04	Bee00	0.95	2.78
0	4.04	Bee09	15.09	12.49
0	4.04	Bee08	26.12	6.69
0	4.04	Bee01	27.43	15.53
0	4.04	Bee07	49.08	19.03
0	4.04	Bee06	37.97	27.87
0	4.04	Bee03	8.58	1.73
0	4.04	Bee04	40.20	11.54
0	4.04	Bee05	35.75	13.05
0	4.04	Bee02	14.16	26.14
0	4.04	Bee00	1.48	0.84
0	5.04	Bee09	13.22	13.25
0	5.04	Bee08	24.51	5.48
0	5.04	Bee01	29.43	15.28
0	5.04	Bee07	48.61	17.07
0	5.04	Bee06	39.10	26.20
0	5.04	Bee03	10.57	2.05
0	5.04	Bee04	40.37	9.53
0	5.04	Bee05	34.30	14.45
0	5.04	Bee02	13.57	28.07
0	5.04	Bee00	1.48	0.84
0	6.04	Bee09	11.34	14.01
0	6.04	Bee08	22.89	4.26
0	6.04	Bee01	31.44	15.03
0	6.04	Bee07	48.14	15.10
0	6.04	Bee06	40.23	24.52
0	6.04	Bee03	12.57	2.37
0	6.04	Bee04	40.55	7.51
0	6.04	Bee05	32.84	15.86
0	6.04	Bee02	12.98	30.01
0	6.04	Bee00	1.38	0.70
0	7.01	Bee09	9.47	14.76
0	7.01	Bee08	21.28	3.04
0	7.01	Bee01	32.10	14.95
0	7.01	Bee07	47.67	13.14
0	7.01	Bee06	41.36	22.85
0	7.01	Bee03	14.56	2.70
0	7.01	Bee04	40.72	5.50
0	7.01	Bee05	31.39	17.26
0	7.01	Bee02	12.39	31.94
0	7.01	Bee00	1.43	0.54
0	8.01	Bee09	7.60	15.52
0	8.01	Bee08	19.67	1.83
0	8.01	Bee01	33.81	13.87
0	8.01	Bee07	47.21	11.18
0	8.01	Bee06	42.49	21.18
