Run	Time	Name	X pos	Y pos

0	0.00	Bee09	22.50	9.50
0	0.00	Bee08	32.50	11.50
0	0.00	Bee01	19.50	16.50
0	0.00	Bee07	45.50	23.50
0	0.00	Bee06	33.50	34.50
0	0.00	Bee03	1.50	1.50
0	0.00	Bee04	39.50	19.50
0	0.00	Bee05	41.50	7.50
0	0.00	Bee02	16.50	18.50
0	0.00	Bee00	3.50	4.50
0	1.00	Bee09	20.61	10.26
0	1.00	Bee08	30.87	10.27
0	1.00	Bee01	21.52	16.25
0	1.00	Bee07	46.84	21.96
0	1.00	Bee06	34.64	32.81
0	1.00	Bee03	3.50	1.11
0	1.00	Bee04	39.68	17.47
0	1.00	Bee05	40.03	8.92
0	1.00	Bee02	15.90	20.45
0	1.00	Bee00	1.79	3.39
0	2.01	Bee09	18.73	11.02
0	2.01	Bee08	29.26	9.05
0	2.01	Bee01	23.53	16.00
0	2.01	Bee07	48.17	20.43
0	2.01	Bee06	35.77	31.13
0	2.01	Bee03	5.49	0.72
0	2.01	Bee04	39.85	15.45
0	2.01	Bee05	38.58	10.32
0	2.01	Bee02	15.31	22.39
0	2.01	Bee00	0.40	2.49
0	3.00	Bee09	16.89	11.77
0	3.00	Bee08	27.67	7.86
0	3.00	Bee01	25.50	15.76
0	3.00	Bee07	49.47	18.94
0	3.00	Bee06	36.88	29.49
0	3.00	Bee03	7.14	0.40
0	3.00	Bee04	40.03	13.48
0	3.00	Bee05	37.15	11.70
0	3.00	Bee02	14.73	24.28
0	3.00	Bee00	0.40	2.49
0	4.02	Bee09	15.01	12.52
0	4.02	Bee08	26.05	6.64
0	4.02	Bee01	27.51	15.52
0	4.02	Bee07	49.60	18.78
0	4.02	Bee06	38.01	27.81
0	4.02	Bee03	7.14	0.40
0	4.02	Bee04	40.20	11.46
0	4.02	Bee05	35.69	13.11
0	4.02	Bee02	14.14	26.22
0	4.02	Bee00	0.40	2.49
0	5.03	Bee09	13.14	13.28
0	5.03	Bee08	24.43	5.42
0	5.03	Bee01	29.52	15.27
0	5.03	Bee07	49.60	18.78
0	5.03	Bee06	39.15	26.13
0	5.03	Bee03	7.14	0.40
0	5.03	Bee04	40.38	9.44
0	5.03	Bee05	34.24	14.52
0	5.03	Bee02	13.55	28.16
0	5.03	Bee00	0.40	2.49
0	6.04	Bee09	11.26	14.04
0	6.04	Bee08	22.82	4.21
0	6.04	Bee01	31.53	15.02
0	6.04	Bee07	49.35	16.78
0	6.04	Bee06	40.28	24.45
0	6.04	Bee03	7.14	0.40
0	6.04	Bee04	40.56	7.43
0	6.04	Bee05	32.78	15.92
0	6.04	Bee02	12.96	30.09
0	6.04	Bee00	0.40	2.49
0	7.04	Bee09	10.33	14.42
0	7.04	Bee08	22.02	3.60
0	7.04	Bee01	32.53	14.90
0	7.04	Bee07	49.22	15.78
0	7.04	Bee06	40.84	23.62
0	7.04	Bee03	7.14	0.40
0	7.04	Bee04	40.64	6.42
0	7.04	Bee05	32.06	16.62
0	7.04	Bee02	12.66	31.05
0	7.04	Bee00	0.40	2.49
0	8.04	Bee09	8.47	15.17
0	8.04	Bee08	20.42	2.40
0	8.04	Bee01	32.53	14.90
0	8.04	Bee07	48.97	13.79
0	8.04	Bee06	41.96	21.96
