Run	Time	Name	X pos	Y pos

0	0.00	Bee09	22.50	9.50
0	0.00	Bee08	32.50	11.50
0	0.00	Bee01	19.50	16.50
0	0.00	Bee07	45.50	23.50
0	0.00	Bee06	33.50	34.50
0	0.00	Bee03	1.50	1.50
0	0.00	Bee04	39.50	19.50
0	0.00	Bee05	41.50	7.50
0	0.00	Bee02	16.50	18.50
0	0.00	Bee00	3.50	4.50
0	1.01	Bee09	20.59	10.27
0	1.01	Bee08	30.85	10.26
0	1.01	Bee01	21.55	16.25
0	1.01	Bee07	46.85	21.94
0	1.01	Bee06	34.65	32.79
0	1.01	Bee03	3.53	1.11
0	1.01	Bee04	39.68	17.44
0	1.01	Bee05	40.02	8.93
0	1.01	Bee02	15.90	20.47
0	1.01	Bee00	1.77	3.38
0	2.00	Bee09	18.75	11.02
0	2.00	Bee08	29.27	9.06
0	2.00	Bee01	23.52	16.01
0	2.00	Bee07	48.16	20.44
0	2.00	Bee06	35.76	31.14
0	2.00	Bee03	4.69	1.09
0	2.00	Bee04	39.85	15.47
0	2.00	Bee05	38.59	10.31
0	2.00	Bee02	15.32	22.37
0	2.00	Bee00	0.98	2.86
0	3.01	Bee09	16.88	11.77
0	3.01	Bee08	27.66	7.85
0	3.01	Bee01	25.52	15.76
0	3.01	Bee07	49.02	19.46
0	3.01	Bee06	36.89	29.47
0	3.01	Bee03	6.68	1.41
0	3.01	Bee04	40.03	13.46
0	3.01	Bee05	37.14	11.71
0	3.01	Bee02	14.73	24.30
0	3.01	Bee00	0.98	2.64
0	4.00	Bee09	15.04	12.51
0	4.00	Bee08	26.07	6.66
0	4.00	Bee01	27.49	15.52
0	4.00	Bee07	48.92	18.79
0	4.00	Bee06	38.00	27.83
0	4.00	Bee03	8.64	1.72
0	4.00	Bee04	40.20	11.48
0	4.00	Bee05	35.71	13.09
0	4.00	Bee02	14.15	26.20
0	4.00	Bee00	1.39	0.94
