Run	Time	Name	X pos	Y pos


0	0.00	Bee09	22.50	9.50
0	0.00	Bee08	32.50	11.50
0	0.00	Bee01	19.50	16.50
0	0.00	Bee07	45.50	23.50
0	0.00	Bee06	33.50	34.50
0	0.00	Bee03	1.50	1.50
0	0.00	Bee04	39.50	19.50
0	0.00	Bee05	41.50	7.50
0	0.00	Bee02	16.50	18.50
0	0.00	Bee00	3.50	4.50
0	0.00	Bee09	22.50	9.50
0	0.00	Bee08	32.50	11.50
0	0.00	Bee01	19.50	16.50
0	0.00	Bee07	45.50	23.50
0	0.00	Bee06	33.50	34.50
0	0.00	Bee03	1.50	1.50
0	0.00	Bee04	39.50	19.50
0	0.00	Bee05	41.50	7.50
0	0.00	Bee02	16.50	18.50
0	0.00	Bee00	3.50	4.50
0	1.01	Bee09	20.60	10.27
0	1.01	Bee08	30.86	10.26
0	1.01	Bee01	21.54	16.25
0	1.01	Bee07	46.85	21.95
0	1.01	Bee06	34.65	32.80
0	1.01	Bee03	3.51	1.11
0	1.01	Bee04	39.68	17.46
0	1.01	Bee05	40.02	8.93
0	1.01	Bee02	15.90	20.46
0	1.01	Bee00	1.78	3.38
0	1.01	Bee09	20.60	10.27
0	1.01	Bee08	30.86	10.26
0	1.01	Bee01	21.54	16.25
0	1.01	Bee07	46.85	21.95
0	1.01	Bee06	34.65	32.80
0	1.01	Bee03	3.51	1.11
0	1.01	Bee04	39.68	17.46
0	1.01	Bee05	40.02	8.93
0	1.01	Bee02	15.90	20.46
0	1.01	Bee00	1.78	3.38
0	2.02	Bee09	18.73	11.02
0	2.02	Bee08	29.25	9.05
0	2.02	Bee01	23.54	16.00
0	2.02	Bee07	48.17	20.43
0	2.02	Bee06	35.78	31.13
0	2.02	Bee03	4.70	1.10
0	2.02	Bee04	39.85	15.44
0	2.02	Bee05	38.57	10.33
0	2.02	Bee02	15.31	22.39
0	2.02	Bee00	0.99	2.87
0	2.02	Bee09	18.73	11.02
0	2.02	Bee08	29.25	9.05
0	2.02	Bee01	23.54	16.00
0	2.02	Bee07	48.17	20.43
0	2.02	Bee06	35.78	31.13
0	2.02	Bee03	4.70	1.10
0	2.02	Bee04	39.85	15.44
0	2.02	Bee05	38.57	10.33
0	2.02	Bee02	15.31	22.39
0	2.02	Bee00	0.99	2.87
0	3.01	Bee09	16.89	11.77
0	3.01	Bee08	27.67	7.86
0	3.01	Bee01	25.51	15.76
0	3.01	Bee07	49.03	19.44
0	3.01	Bee06	36.89	29.48
0	3.01	Bee03	6.66	1.42
0	3.01	Bee04	40.03	13.47
0	3.01	Bee05	37.15	11.71
0	3.01	Bee02	14.73	24.29
0	3.01	Bee00	0.98	2.65
0	3.01	Bee09	16.89	11.77
0	3.01	Bee08	27.67	7.86
0	3.01	Bee01	25.51	15.76
0	3.01	Bee07	49.03	19.44
0	3.01	Bee06	36.89	29.48
0	3.01	Bee03	6.66	1.42
0	3.01	Bee04	40.03	13.47
0	3.01	Bee05	37.15	11.71
0	3.01	Bee02	14.73	24.29
0	3.01	Bee00	0.98	2.65
0	4.00	Bee09	15.04	12.51
0	4.00	Bee08	26.08	6.66
0	4.00	Bee01	27.48	15.52
0	4.00	Bee07	48.93	18.81
0	4.00	Bee06	38.00	27.83
0	4.00	Bee03	8.62	1.74
0	4.00	Bee04	40.20	11.49
0	4.00	Bee05	35.72	13.09
0	4.00	Bee02	14.15	26.19
0	4.00	Bee00	1.40	0.95
0	4.00	Bee09	15.04	12.51
0	4.00	Bee08	26.08	6.66
0	4.00	Bee01	27.48	15.52
0	4.00	Bee07	48.93	18.81
0	4.00	Bee06	38.00	27.83
0	4.00	Bee03	8.62	1.74
0	4.00	Bee04	40.20	11.49
0	4.00	Bee05	35.72	13.09
0	4.00	Bee02	14.15	26.19
0	4.00	Bee00	1.40	0.95
