Run	Time	Name	X pos	Y pos

0	0.00	4Bee409	184.50	46.50
0	0.00	4Bee408	195.50	27.50
0	0.00	4Bee407	178.50	29.50
0	0.00	4Bee406	192.50	2.50
0	0.00	4Bee405	167.50	20.50
0	0.00	4Bee404	186.50	7.50
0	0.00	4Bee403	151.50	17.50
0	0.00	4Bee402	163.50	18.50
0	0.00	4Bee401	175.50	19.50
0	0.00	4Bee400	168.50	40.50
0	0.00	3Bee309	106.50	33.50
0	0.00	3Bee308	143.50	38.50
0	0.00	3Bee307	108.50	1.50
0	0.00	3Bee306	142.50	43.50
0	0.00	3Bee305	107.50	32.50
0	0.00	3Bee304	148.50	17.50
0	0.00	3Bee303	133.50	17.50
0	0.00	3Bee302	124.50	1.50
0	0.00	3Bee301	125.50	1.50
0	0.00	3Bee300	145.50	10.50
0	0.00	2Bee209	79.50	43.50
0	0.00	2Bee208	78.50	41.50
0	0.00	2Bee207	79.50	13.50
0	0.00	2Bee206	64.50	47.50
0	0.00	2Bee205	70.50	29.50
0	0.00	2Bee204	90.50	23.50
0	0.00	2Bee203	92.50	6.50
0	0.00	2Bee202	63.50	5.50
0	0.00	2Bee201	63.50	42.50
0	0.00	2Bee200	62.50	46.50
0	0.00	1Bee109	0.50	8.50
0	0.00	1Bee108	32.50	4.50
0	0.00	1Bee107	30.50	26.50
0	0.00	1Bee106	39.50	0.50
0	0.00	1Bee105	13.50	42.50
0	0.00	1Bee104	19.50	21.50
0	0.00	1Bee103	21.50	33.50
0	0.00	1Bee102	38.50	42.50
0	0.00	1Bee101	41.50	15.50
0	0.00	1Bee100	17.50	49.50
0	1.02	4Bee409	186.57	46.61
0	1.02	4Bee408	197.57	27.39
0	1.02	4Bee407	176.44	29.72
0	1.02	4Bee406	190.96	3.89
0	1.02	4Bee405	168.24	22.43
0	1.02	4Bee404	186.28	9.56
0	1.02	4Bee403	151.55	16.10
0	1.02	4Bee402	164.21	16.55
0	1.02	4Bee401	177.13	18.22
0	1.02	4Bee400	166.91	41.83
0	1.02	3Bee309	106.32	35.56
0	1.02	3Bee308	142.83	40.46
0	1.02	3Bee307	109.50	-0.31
0	1.02	3Bee306	140.53	44.14
0	1.02	3Bee305	106.93	30.51
0	1.02	3Bee304	147.76	19.43
0	1.02	3Bee303	134.60	15.74
0	1.02	3Bee302	124.28	3.56
0	1.02	3Bee301	123.44	1.25
0	1.02	3Bee300	147.33	11.47
0	1.02	2Bee209	77.45	43.18
0	1.02	2Bee208	78.64	39.43
0	1.02	2Bee207	78.93	15.49
0	1.02	2Bee206	65.94	46.01
0	1.02	2Bee205	72.50	28.96
0	1.02	2Bee204	88.64	24.41
0	1.02	2Bee203	94.20	5.31
0	1.02	2Bee202	63.64	3.43
0	1.02	2Bee201	65.15	41.25
0	1.02	2Bee200	60.43	46.54
0	1.02	1Bee109	1.53	8.55
0	1.02	1Bee108	33.63	6.24
0	1.02	1Bee107	32.57	26.36
0	1.02	1Bee106	38.68	0.68
0	1.02	1Bee105	13.61	44.57
0	1.02	1Bee104	21.35	20.56
0	1.02	1Bee103	23.52	33.97
0	1.02	1Bee102	38.72	44.56
0	1.02	1Bee101	39.47	15.90
0	1.02	1Bee100	18.40	48.64
0	2.01	4Bee409	188.55	46.71
0	2.01	4Bee408	199.05	27.31
0	2.01	4Bee407	174.46	29.92
0	2.01	4Bee406	189.48	5.22
0	2.01	4Bee405	168.95	24.29
0	2.01	4Bee404	186.08	11.54
0	2.01	4Bee403	152.25	14.38
0	2.01	4Bee402	164.89	14.69
0	2.01	4Bee401	178.70	17.00
0	2.01	4Bee400	165.39	43.11
0	2.01	3Bee309	106.15	37.54
0	2.01	3Bee308	142.18	42.34
0	2.01	3Bee307	110.47	-2.05
0	2.01	3Bee306	138.64	44.75
0	2.01	3Bee305	106.38	28.60
0	2.01	3Bee304	147.05	21.29
0	2.01	3Bee303	135.65	14.06
0	2.01	3Bee302	124.08	5.54
0	2.01	3Bee301	121.47	1.01
0	2.01	3Bee300	148.61	12.15
0	2.01	2Bee209	75.49	42.87
0	2.01	2Bee208	78.78	37.45
0	2.01	2Bee207	78.38	17.40
0	2.01	2Bee206	67.32	44.58
0	2.01	2Bee205	74.42	28.45
0	2.01	2Bee204	86.85	25.28
0	2.01	2Bee203	95.82	4.17
0	2.01	2Bee202	63.78	1.45
0	2.01	2Bee201	66.74	40.06
0	2.01	2Bee200	59.96	46.54
0	2.01	1Bee109	2.21	7.81
0	2.01	1Bee108	34.71	7.90
0	2.01	1Bee107	34.55	26.22
0	2.01	1Bee106	36.75	1.15
0	2.01	1Bee105	13.71	46.55
0	2.01	1Bee104	23.12	19.66
