Run	Time	Name	X pos	Y pos	Collision	OnCue
0	0.00	Bee09	3.48	5.47	1	False
0	0.02	Bee07	6.46	3.43	1	False
0	0.40	Bee06	9.31	3.67	1	False
0	0.47	Bee00	8.22	3.18	1	False
0	1.01	Bee06	9.31	3.67	2	False
0	1.21	Bee05	5.95	4.11	1	False
0	1.34	Bee03	3.07	1.06	1	False
0	1.34	Bee02	3.88	1.80	1	False
0	1.52	Bee01	9.22	4.94	1	False
0	1.67	Bee00	8.52	3.13	2	False
0	1.82	Bee07	4.81	2.09	2	False
0	1.82	Bee07	4.81	2.09	3	False
0	1.82	Bee04	1.15	5.90	1	False
0	2.27	Bee02	4.02	1.63	2	False
0	2.45	Bee08	1.49	7.10	1	False
0	2.82	Bee07	4.74	1.87	4	False
0	2.82	Bee07	4.74	1.87	5	False
0	3.53	Bee07	4.75	1.65	6	False
0	3.53	Bee08	1.85	6.82	2	False
0	3.92	Bee00	10.75	1.20	3	False
0	4.47	Bee07	4.89	1.48	7	False
0	4.61	Bee02	4.45	0.67	3	False
0	5.38	Bee03	1.09	3.38	2	False
0	5.52	Bee02	4.73	0.70	4	False
0	6.25	Bee05	9.64	1.01	2	False
0	6.41	Bee02	5.00	0.86	5	False
0	7.94	Bee04	10.45	3.32	2	False
0	7.94	Bee05	10.85	2.28	3	False
0	8.60	Bee07	9.69	2.12	8	False
0	8.60	Bee04	10.67	3.33	3	False
0	8.60	Bee05	11.04	2.38	4	False
0	11.01	Bee04	13.65	5.04	4	False
0	11.20	Bee02	8.62	7.76	6	False
0	11.20	Bee08	15.47	5.64	3	False
0	22.93	Bee09	14.70	19.23	2	False
0	23.79	Bee09	14.91	19.17	3	False
0	24.52	Bee09	15.09	19.02	4	False
0	25.40	Bee02	34.25	11.58	7	False
0	26.46	Bee06	37.54	16.72	3	False
0	27.98	Bee07	39.20	13.18	9	False
0	28.53	Bee00	39.09	13.97	4	False
0	28.95	Bee07	39.19	13.40	10	False
0	28.95	Bee07	39.19	13.40	11	False
0	29.27	Bee03	38.38	12.61	3	False
0	29.41	Bee00	38.89	13.42	5	False
0	29.80	Bee07	39.02	13.82	12	False
0	31.95	Bee04	23.77	9.08	5	False
0	31.95	Bee01	24.09	8.31	2	False
0	32.95	Bee01	23.87	8.29	3	False
0	33.33	Bee04	23.70	8.84	6	False
0	33.33	Bee04	23.70	8.84	7	False
0	34.23	Bee04	23.50	8.68	8	False
0	37.04	Bee03	35.74	1.61	4	False
0	37.04	Bee02	36.76	1.25	8	False
0	38.48	Bee02	36.31	1.09	9	False
0	39.90	Bee02	35.89	1.36	10	False
0	42.80	Bee02	34.25	5.17	11	False
0	44.68	Bee07	27.92	6.07	13	False
0	45.93	Bee04	3.02	13.23	9	False
0	45.93	Bee08	2.99	14.23	4	False
0	47.34	Bee01	1.33	5.26	4	False
0	47.48	Bee06	0.70	6.13	4	False
0	47.48	Bee06	0.70	6.13	5	False
0	48.14	Bee05	5.96	12.69	5	False
0	48.14	Bee08	5.37	13.49	5	False
0	48.30	Bee01	1.01	5.23	5	False
0	48.44	Bee06	0.74	5.85	6	False
0	48.44	Bee06	0.74	5.85	7	False
0	49.22	Bee06	0.87	5.64	8	False
0	49.22	Bee06	0.87	5.64	9	False
0	49.22	Bee06	0.87	5.64	10	False
0	50.03	Bee06	1.05	5.52	11	False
0	50.03	Bee06	1.05	5.52	12	False
0	51.27	Bee04	1.85	10.49	10	False
0	53.18	Bee04	1.31	9.16	11	False
0	56.05	Bee01	2.56	2.83	6	False
0	56.21	Bee05	3.29	3.82	6	False
0	57.00	Bee01	2.80	2.79	7	False
0	57.29	Bee05	3.96	3.36	7	False
0	57.77	Bee01	3.01	2.65	8	False
0	60.79	Bee04	4.54	2.03	12	False
0	60.97	Bee01	4.69	0.85	9	False
0	61.66	Bee01	4.89	0.95	10	False
0	61.82	Bee04	4.83	1.89	13	False
0	61.82	Bee04	4.83	1.89	14	False
0	62.52	Bee04	5.07	1.86	15	False
0	64.43	Bee03	2.44	14.06	5	False
0	64.43	Bee07	2.72	13.08	14	False
0	65.46	Bee07	2.50	13.05	15	False
0	65.87	Bee03	2.67	14.03	6	False
0	67.56	Bee01	15.48	2.28	11	False
0	67.56	Bee09	15.97	3.04	5	False
0	67.96	Bee02	16.69	3.94	12	False
0	68.46	Bee01	15.68	2.18	12	False
0	68.93	Bee09	16.00	2.82	6	False
0	68.93	Bee09	16.00	2.82	7	False
0	69.38	Bee02	16.71	3.70	13	False
0	70.21	Bee09	16.61	2.10	8	False
0	70.58	Bee02	17.20	3.15	14	False
0	71.10	Bee09	16.84	2.02	9	False
0	71.38	Bee02	17.43	3.06	15	False
0	71.87	Bee09	16.99	1.87	10	False
0	72.16	Bee01	17.61	1.01	13	False
0	72.81	Bee09	17.24	1.81	11	False
0	72.81	Bee09	17.24	1.81	12	False
0	73.78	Bee09	18.00	1.93	13	False
0	74.05	Bee08	35.46	18.14	6	False
0	77.63	Bee01	27.01	3.18	14	False
0	79.67	Bee05	39.10	16.13	8	False
0	79.92	Bee00	38.82	17.00	6	False
0	80.68	Bee05	38.90	16.20	9	False
0	80.68	Bee05	38.90	16.20	10	False
0	80.86	Bee00	38.51	16.85	7	False
0	81.10	Bee03	30.48	18.25	7	False
0	81.38	Bee05	38.66	16.19	11	False
0	81.86	Bee06	31.40	19.20	13	False
0	82.16	Bee05	38.38	16.06	12	False
0	84.02	Bee00	33.49	17.01	8	False
0	84.18	Bee09	32.44	14.54	14	False
0	85.15	Bee03	34.98	13.87	8	False
0	86.19	Bee02	38.80	4.89	16	False
0	86.19	Bee01	38.04	4.06	15	False
0	89.79	Bee05	28.94	5.58	13	False
0	92.71	Bee02	34.63	15.79	17	False
0	92.71	Bee09	35.26	16.74	15	False
0	93.29	Bee03	36.51	16.37	9	False
0	93.44	Bee09	35.53	16.63	16	False
0	94.28	Bee03	36.47	16.58	10	False
